Date,Open,Close price,Max,Min
2016-12-31,,29998.191838,,
2016-11-30,,30014.041814,,
2016-10-31,,29802.794283,,
2016-09-30,28160.174713,27664.251217,28209.442327,28062.946088
2016-08-31,28067.680491,27969.238552,28137.689368,27941.350871
2016-07-31,27653.384445,27628.172287,27737.065275,27449.720757
2016-06-30,26435.847691,26325.596874,26590.328835,26272.395201
2016-05-31,27201.371052,26521.185231,27208.167785,26521.185231
2016-04-30,26865.344594,26871.594458,27074.994937,26794.999095
2016-03-31,26326.950093,26451.019151,26452.406958,26132.525936
2016-02-29,23579.257448,23327.943758,23594.130104,23327.943758
2016-01-31,23888.394733,23997.309191,24022.485415,23843.446259
2015-12-31,23964.876733,23920.64571,23993.269634,23839.421675
2015-11-30,23751.563075,23768.604034,23936.840665,23725.297322
2015-10-31,21941.850319,21557.444624,21982.516896,21508.072883
2015-09-30,20960.943579,20893.955871,21047.114458,20827.939143
2015-08-31,21276.000711,21395.946299,21398.665527,21185.9959
2015-07-31,22530.366947,22588.985394,22633.079427,22472.582191
2015-06-30,21613.290313,21903.133324,21903.133324,21549.204924
2015-05-31,22446.023659,22378.743603,22563.745009,22328.723664
2015-04-30,22359.332644,22612.455461,22767.958491,22137.235662
2015-03-31,20021.301024,19689.157568,20107.527259,19584.238933
2015-02-28,18478.499526,18210.193423,18514.833655,18210.193423
2015-01-31,16649.751404,16530.926128,16742.49506,16478.788387
2014-12-31,16508.370009,16634.00044,16634.00044,16447.317931
2014-11-30,17470.532731,17350.089277,17493.54346,17233.597273
2014-10-31,17186.335635,17320.315132,17348.474328,17186.201765
2014-09-30,17837.873068,17884.705239,17997.442231,17837.873068
2014-08-31,17699.629978,17779.763414,17828.072555,17669.380585
2014-07-31,17790.472587,17521.842211,17790.557634,17446.257442
2014-06-30,18695.895283,18605.777346,18704.40789,18543.481887
2014-05-31,19067.937328,19264.417175,19338.813432,19040.744631
2014-04-30,17615.823014,17434.526876,17615.823014,17434.526876
2014-03-31,17432.359948,17529.994573,17602.457424,17305.900984
2014-02-28,17408.621064,17744.920025,17744.920025,17408.621064
2014-01-31,18609.199962,18958.235071,18958.235071,18533.723593
2013-12-31,18314.733138,18564.083063,18603.384329,18314.733138
2013-11-30,18557.04,18809.76,18809.76,18520.23
2013-10-31,18829.42,18827.03,18829.42,18641.2
2013-09-30,18611.02,18663.34,18670.96,18565.09
2013-08-31,18060.57,18198.84,18275.2,18017.17
2013-07-31,18196.16,18552.34,18552.34,18131.38
2013-06-30,18685.93,19023.96,19023.96,18685.93
2013-05-31,19352.58,19262.77,19352.58,19117.77
2013-04-30,17951.54,18286.07,18286.07,17951.54
2013-03-31,17909.4,17857.42,17929.28,17693.75
2013-02-28,18743.51,18804.96,18834.52,18675.77
